full_text,text_clean,token,text_normalized,stop,stemmed,polarity
@tanyakanrl beberapa tahun lalu pernah muterin uang 500rb buat jual beli handphone di marketplace Facebook Alhamdulillah cuan terus,beberapa tahun lalu pernah muterin uang rb buat jual beli handphone di marketplace facebook alhamdulillah cuan terus,"['beberapa', 'tahun', 'lalu', 'pernah', 'muterin', 'uang', 'rb', 'buat', 'jual', 'beli', 'handphone', 'di', 'marketplace', 'facebook', 'alhamdulillah', 'cuan', 'terus']",beberapa tahun lalu pernah muterin uang rb buat jual beli handphone di marketplace facebook alhamdulillah cuan terus,"['beberapa', 'tahun', 'lalu', 'pernah', 'muterin', 'uang', 'rb', 'buat', 'jual', 'beli', 'handphone', 'marketplace', 'facebook', 'alhamdulillah', 'cuan', 'terus']","['beberapa', 'tahun', 'lalu', 'pernah', 'muterin', 'uang', 'rb', 'buat', 'jual', 'beli', 'handphone', 'marketplace', 'facebook', 'alhamdulillah', 'cuan', 'terus']",positive
@verdespair kalo perabotan coba ke komunitas rumah rumah fil printilan yang kecil di muramura elektronik ke grup jual beli facebook jangan marketplace.,kalo perabotan coba ke komunitas rumah rumah fil printilan yang kecil di muramura elektronik ke grup jual beli facebook jangan marketplace,"['kalo', 'perabotan', 'coba', 'ke', 'komunitas', 'rumah', 'rumah', 'fil', 'printilan', 'yang', 'kecil', 'di', 'muramura', 'elektronik', 'ke', 'grup', 'jual', 'beli', 'facebook', 'jangan', 'marketplace']",kalaupun perabotan coba ke komunitas rumah rumah fil printilan yang kecil di muramura elektronik ke grup jual beli facebook jangan marketplace,"['kalo', 'perabotan', 'coba', 'komunitas', 'rumah', 'rumah', 'fil', 'printilan', 'kecil', 'muramura', 'elektronik', 'grup', 'jual', 'beli', 'facebook', 'jangan', 'marketplace']","['kalo', 'perabotan', 'coba', 'komunitas', 'rumah', 'rumah', 'fil', 'printilan', 'kecil', 'muramura', 'elektronik', 'grup', 'jual', 'beli', 'facebook', 'jangan', 'marketplace']",negative
@YUPIEN_FESS Kalau cari yang baru mungkin di Metro atau Rafa kayanya cukup lengkap tapi kalau cari yang murah atau preloved bisa di marketplace Facebook atau di grup jual beli barang kost area Jogja. Kapan lagi dapet setrika 40 rb kan ,kalau cari yang baru mungkin di metro atau rafa kayanya cukup lengkap tapi kalau cari yang murah atau preloved bisa di marketplace facebook atau di grup jual beli barang kost area jogja kapan lagi dapet setrika rb kan,"['kalau', 'cari', 'yang', 'baru', 'mungkin', 'di', 'metro', 'atau', 'rafa', 'kayanya', 'cukup', 'lengkap', 'tapi', 'kalau', 'cari', 'yang', 'murah', 'atau', 'preloved', 'bisa', 'di', 'marketplace', 'facebook', 'atau', 'di', 'grup', 'jual', 'beli', 'barang', 'kost', 'area', 'jogja', 'kapan', 'lagi', 'dapet', 'setrika', 'rb', 'kan']",kalau cari yang baru mungkin di metro atau rafa sepertinya cukup lengkap tapi kalau cari yang murah atau preloved bisa di marketplace facebook atau di grup jual beli barang kost area jogja kapan lagi dapat setrika rb kan,"['kalau', 'cari', 'baru', 'mungkin', 'metro', 'rafa', 'kayanya', 'cukup', 'lengkap', 'kalau', 'cari', 'murah', 'preloved', 'marketplace', 'facebook', 'grup', 'jual', 'beli', 'barang', 'kost', 'area', 'jogja', 'kapan', 'dapet', 'setrika', 'rb', 'kan']","['kalau', 'cari', 'baru', 'mungkin', 'metro', 'rafa', 'kayanya', 'cukup', 'lengkap', 'kalau', 'cari', 'murah', 'preloved', 'marketplace', 'facebook', 'grup', 'jual', 'beli', 'barang', 'kost', 'area', 'jogja', 'kapan', 'dapet', 'setrika', 'rb', 'kan']",positive
hati hati yang mau beli cari minat ETALASE BERBAGAI UKURAN. ADA PENIPU DI MARKETPLACE FB FACEBOOK BISA JADI SOSMED LAIN JUGA ADA. CIPUTAT TANGERANG SELATAN +62 815-8472-3968 0815-8472-3968 wts wtb need jual beli cod ongkir modus transfer duluan MAKSA *anying fak kata gue teh*,hati hati yang mau beli cari minat etalase berbagai ukuran ada penipu di marketplace fb facebook bisa jadi sosmed lain juga ada ciputat tangerang selatan wts wtb need jual beli cod ongkir modus transfer duluan maksa anying fak kata gue teh,"['hati', 'hati', 'yang', 'mau', 'beli', 'cari', 'minat', 'etalase', 'berbagai', 'ukuran', 'ada', 'penipu', 'di', 'marketplace', 'fb', 'facebook', 'bisa', 'jadi', 'sosmed', 'lain', 'juga', 'ada', 'ciputat', 'tangerang', 'selatan', 'wts', 'wtb', 'need', 'jual', 'beli', 'cod', 'ongkir', 'modus', 'transfer', 'duluan', 'maksa', 'anying', 'fak', 'kata', 'gue', 'teh']",hati hati yang mau beli cari minat etalase berbagai ukuran ada penipu di marketplace fb facebook bisa jadi sosmed lain juga ada ciputat tangerang selatan wts wtb need jual beli cod ongkir modus transfer duluan maksa anying fakultas kata aku teh,"['hati', 'hati', 'mau', 'beli', 'cari', 'minat', 'etalase', 'berbagai', 'ukuran', 'penipu', 'marketplace', 'fb', 'facebook', 'jadi', 'sosmed', 'ciputat', 'tangerang', 'selatan', 'wts', 'wtb', 'need', 'jual', 'beli', 'cod', 'ongkir', 'modus', 'transfer', 'duluan', 'maksa', 'anying', 'fak', 'kata', 'gue', 'teh']","['hati', 'hati', 'mau', 'beli', 'cari', 'minat', 'etalase', 'berbagai', 'ukuran', 'penipu', 'marketplace', 'fb', 'facebook', 'jadi', 'sosmed', 'ciputat', 'tangerang', 'selatan', 'wts', 'wtb', 'need', 'jual', 'beli', 'cod', 'ongkir', 'modus', 'transfer', 'duluan', 'maksa', 'anying', 'fak', 'kata', 'gue', 'teh']",negative
Doain deh semoga rezeki gua lancar.. gua masih pasarin stick golf selama blm sold out dan salah satunya di marketplace facebook. Tapi disana ternyata orgil semua yang nawar. Gua jual stick golf SATU SET 5 5 juta malah nawar jadi 500k sama 800k :( bokap beli tahun 2016 10 jt woi https://t.co/RWJEFyTJv5,doain deh semoga rezeki gua lancar gua masih pasarin stick golf selama blm sold out dan salah satunya di marketplace facebook tapi disana ternyata orgil semua yang nawar gua jual stick golf satu set juta malah nawar jadi sama bokap beli tahun jt woi,"['doain', 'deh', 'semoga', 'rezeki', 'gua', 'lancar', 'gua', 'masih', 'pasarin', 'stick', 'golf', 'selama', 'blm', 'sold', 'out', 'dan', 'salah', 'satunya', 'di', 'marketplace', 'facebook', 'tapi', 'disana', 'ternyata', 'orgil', 'semua', 'yang', 'nawar', 'gua', 'jual', 'stick', 'golf', 'satu', 'set', 'juta', 'malah', 'nawar', 'jadi', 'sama', 'bokap', 'beli', 'tahun', 'jt', 'woi']",doakan deh semoga rezeki saya lancar saya masih pasarin stick golf selama belum sold keluar dan salah satunya di marketplace facebook tapi disana ternyata orgil semua yang nawar saya jual stick golf satu set juta malah nawar jadi sama bokap beli tahun juta woi,"['doain', 'deh', 'semoga', 'rezeki', 'gua', 'lancar', 'gua', 'pasarin', 'stick', 'golf', 'selama', 'blm', 'sold', 'out', 'salah', 'satunya', 'marketplace', 'facebook', 'disana', 'ternyata', 'orgil', 'semua', 'nawar', 'gua', 'jual', 'stick', 'golf', 'satu', 'set', 'juta', 'malah', 'nawar', 'jadi', 'sama', 'bokap', 'beli', 'tahun', 'jt', 'woi']","['doain', 'deh', 'semoga', 'rezeki', 'gua', 'lancar', 'gua', 'pasarin', 'stick', 'golf', 'selama', 'blm', 'sold', 'out', 'salah', 'satunya', 'marketplace', 'facebook', 'disana', 'ternyata', 'orgil', 'semua', 'nawar', 'gua', 'jual', 'stick', 'golf', 'satu', 'set', 'juta', 'malah', 'nawar', 'jadi', 'sama', 'bokap', 'beli', 'tahun', 'jt', 'woi']",negative
@queenyoimi33427 @Outwhille Di facebook gw kok isinya cuma orang2 forum yg diskusi &amp; jual beli grup/marketplace ya. Apa yg salah fb gw isinya ga ada beginian?,di facebook gw kok isinya cuma orang forum yg diskusi amp jual beli grupmarketplace ya apa yg salah fb gw isinya ga ada beginian,"['di', 'facebook', 'gw', 'kok', 'isinya', 'cuma', 'orang', 'forum', 'yg', 'diskusi', 'amp', 'jual', 'beli', 'grupmarketplace', 'ya', 'apa', 'yg', 'salah', 'fb', 'gw', 'isinya', 'ga', 'ada', 'beginian']",di facebook saya kok isinya hanya orang forum yang diskusi amp jual beli grupmarketplace ya apa yang salah fb saya isinya tidak ada beginian,"['facebook', 'gw', 'kok', 'isinya', 'cuma', 'orang', 'forum', 'yg', 'diskusi', 'amp', 'jual', 'beli', 'grupmarketplace', 'apa', 'yg', 'salah', 'fb', 'gw', 'isinya', 'ga', 'beginian']","['facebook', 'gw', 'kok', 'isinya', 'cuma', 'orang', 'forum', 'yg', 'diskusi', 'amp', 'jual', 'beli', 'grupmarketplace', 'apa', 'yg', 'salah', 'fb', 'gw', 'isinya', 'ga', 'beginian']",positive
@AgataDiguna kenyataan harga jual beli di marketplace memang pedih wkwk kalo disamain harga ngiklan di grup/facebook nanti dapetnya cuman 450an kalo dinaikin nanti calon buyernya gajadi beli wkwk memang jalan tengahnya dari dulu adalah COD Tengah2 wkwk,kenyataan harga jual beli di marketplace memang pedih wkwk kalo disamain harga ngiklan di grupfacebook nanti dapetnya cuman an kalo dinaikin nanti calon buyernya gajadi beli wkwk memang jalan tengahnya dari dulu adalah cod tengah wkwk,"['kenyataan', 'harga', 'jual', 'beli', 'di', 'marketplace', 'memang', 'pedih', 'wkwk', 'kalo', 'disamain', 'harga', 'ngiklan', 'di', 'grupfacebook', 'nanti', 'dapetnya', 'cuman', 'an', 'kalo', 'dinaikin', 'nanti', 'calon', 'buyernya', 'gajadi', 'beli', 'wkwk', 'memang', 'jalan', 'tengahnya', 'dari', 'dulu', 'adalah', 'cod', 'tengah', 'wkwk']",kenyataan harga jual beli di marketplace memang pedih wkwk kalaupun disamain harga ngiklan di grupfacebook nanti dapetnya cuman an kalaupun dinaikin nanti calon buyernya gajadi beli wkwk memang jalan tengahnya dari dulu adalah cod tengah wkwk,"['kenyataan', 'harga', 'jual', 'beli', 'marketplace', 'memang', 'pedih', 'wkwk', 'kalo', 'disamain', 'harga', 'ngiklan', 'grupfacebook', 'dapetnya', 'cuman', 'an', 'kalo', 'dinaikin', 'calon', 'buyernya', 'gajadi', 'beli', 'wkwk', 'memang', 'jalan', 'tengahnya', 'dulu', 'cod', 'tengah', 'wkwk']","['kenyataan', 'harga', 'jual', 'beli', 'marketplace', 'memang', 'pedih', 'wkwk', 'kalo', 'disamain', 'harga', 'ngiklan', 'grupfacebook', 'dapetnya', 'cuman', 'an', 'kalo', 'dinaikin', 'calon', 'buyernya', 'gajadi', 'beli', 'wkwk', 'memang', 'jalan', 'tengahnya', 'dulu', 'cod', 'tengah', 'wkwk']",positive
Transaksi jual beli upal yang marak beredar sekarang melalui Facebook Marketplace dan MiChat. Para penjual menyediakan informasi di lapak tersebut lalu diarahkan ke personal chat Whatsapp. Salah 1 lapak upal di fb marketplace cek ss di bawah. https://t.co/YEaF2vEVKR,transaksi jual beli upal yang marak beredar sekarang melalui facebook marketplace dan michat para penjual menyediakan informasi di lapak tersebut lalu diarahkan ke personal chat whatsapp salah lapak upal di fb marketplace cek ss di bawah,"['transaksi', 'jual', 'beli', 'upal', 'yang', 'marak', 'beredar', 'sekarang', 'melalui', 'facebook', 'marketplace', 'dan', 'michat', 'para', 'penjual', 'menyediakan', 'informasi', 'di', 'lapak', 'tersebut', 'lalu', 'diarahkan', 'ke', 'personal', 'chat', 'whatsapp', 'salah', 'lapak', 'upal', 'di', 'fb', 'marketplace', 'cek', 'ss', 'di', 'bawah']",transaksi jual beli upal yang marak beredar sekarang melalui facebook marketplace dan michat para penjual menyediakan informasi di lapak tersebut lalu diarahkan ke personal chat whatsapp salah lapak upal di fb marketplace cek ss di bawah,"['transaksi', 'jual', 'beli', 'upal', 'marak', 'beredar', 'sekarang', 'melalui', 'facebook', 'marketplace', 'michat', 'penjual', 'menyediakan', 'informasi', 'lapak', 'tersebut', 'lalu', 'diarahkan', 'personal', 'chat', 'whatsapp', 'salah', 'lapak', 'upal', 'fb', 'marketplace', 'cek', 'ss', 'bawah']","['transaksi', 'jual', 'beli', 'upal', 'marak', 'beredar', 'sekarang', 'melalui', 'facebook', 'marketplace', 'michat', 'penjual', 'menyediakan', 'informasi', 'lapak', 'tersebut', 'lalu', 'diarahkan', 'personal', 'chat', 'whatsapp', 'salah', 'lapak', 'upal', 'fb', 'marketplace', 'cek', 'ss', 'bawah']",positive
@tanyakanrl Kalo sekarang sih lagi marak jual lewat marketplace kayak shopee atau tokped nder. Tapi bisa juga di facebook mungkin ikut kayak grup jual beli gitu bisa juga nder,kalo sekarang sih lagi marak jual lewat marketplace kayak shopee atau tokped nder tapi bisa juga di facebook mungkin ikut kayak grup jual beli gitu bisa juga nder,"['kalo', 'sekarang', 'sih', 'lagi', 'marak', 'jual', 'lewat', 'marketplace', 'kayak', 'shopee', 'atau', 'tokped', 'nder', 'tapi', 'bisa', 'juga', 'di', 'facebook', 'mungkin', 'ikut', 'kayak', 'grup', 'jual', 'beli', 'gitu', 'bisa', 'juga', 'nder']",kalaupun sekarang sih lagi marak jual lewat marketplace seperti shopee atau tokped nder tapi bisa juga di facebook mungkin ikut seperti grup jual beli begitu bisa juga nder,"['kalo', 'sekarang', 'sih', 'marak', 'jual', 'lewat', 'marketplace', 'kayak', 'shopee', 'tokped', 'nder', 'facebook', 'mungkin', 'ikut', 'kayak', 'grup', 'jual', 'beli', 'gitu', 'nder']","['kalo', 'sekarang', 'sih', 'marak', 'jual', 'lewat', 'marketplace', 'kayak', 'shopee', 'tokped', 'nder', 'facebook', 'mungkin', 'ikut', 'kayak', 'grup', 'jual', 'beli', 'gitu', 'nder']",positive
@cemburuya threads klo facebook banyak sodara &amp; temen² sekolah yg main fb jd klo hilang kontak yaa hub mereka ke fb &amp; utk jual beli hp / kendaraan di marketplace / group jual beli,threads klo facebook banyak sodara amp temen sekolah yg main fb jd klo hilang kontak yaa hub mereka ke fb amp utk jual beli hp kendaraan di marketplace group jual beli,"['threads', 'klo', 'facebook', 'banyak', 'sodara', 'amp', 'temen', 'sekolah', 'yg', 'main', 'fb', 'jd', 'klo', 'hilang', 'kontak', 'yaa', 'hub', 'mereka', 'ke', 'fb', 'amp', 'utk', 'jual', 'beli', 'hp', 'kendaraan', 'di', 'marketplace', 'group', 'jual', 'beli']",threads kalau facebook banyak saudara amp teman sekolah yang main fb jadi kalau hilang kontak ya hubungan mereka ke fb amp untuk jual beli hp kendaraan di marketplace group jual beli,"['threads', 'klo', 'facebook', 'banyak', 'sodara', 'amp', 'temen', 'sekolah', 'yg', 'main', 'fb', 'jd', 'klo', 'hilang', 'kontak', 'yaa', 'hub', 'fb', 'amp', 'utk', 'jual', 'beli', 'hp', 'kendaraan', 'marketplace', 'group', 'jual', 'beli']","['threads', 'klo', 'facebook', 'banyak', 'sodara', 'amp', 'temen', 'sekolah', 'yg', 'main', 'fb', 'jd', 'klo', 'hilang', 'kontak', 'yaa', 'hub', 'fb', 'amp', 'utk', 'jual', 'beli', 'hp', 'kendaraan', 'marketplace', 'group', 'jual', 'beli']",positive
@undipmfs Coba cari di marketplace or grup facebook jual beli laptop smrng siapa tau malingnya ngejual disitu,coba cari di marketplace or grup facebook jual beli laptop smrng siapa tau malingnya ngejual disitu,"['coba', 'cari', 'di', 'marketplace', 'or', 'grup', 'facebook', 'jual', 'beli', 'laptop', 'smrng', 'siapa', 'tau', 'malingnya', 'ngejual', 'disitu']",coba cari di marketplace atau grup facebook jual beli laptop smrng siapa tahu malingnya ngejual disitu,"['coba', 'cari', 'marketplace', 'or', 'grup', 'facebook', 'jual', 'beli', 'laptop', 'smrng', 'siapa', 'tau', 'malingnya', 'ngejual', 'disitu']","['coba', 'cari', 'marketplace', 'or', 'grup', 'facebook', 'jual', 'beli', 'laptop', 'smrng', 'siapa', 'tau', 'malingnya', 'ngejual', 'disitu']",negative
@Rizal55693944 @tokopedia Aku jual kamera yg udh nggak dipakai di tokopedia... Barangnya tak tawarin di facebook marketplace terus ada org Mojokerto yg minat beli minta dikirim via tokopedia.,aku jual kamera yg udh nggak dipakai di tokopedia barangnya tak tawarin di facebook marketplace terus ada org mojokerto yg minat beli minta dikirim via tokopedia,"['aku', 'jual', 'kamera', 'yg', 'udh', 'nggak', 'dipakai', 'di', 'tokopedia', 'barangnya', 'tak', 'tawarin', 'di', 'facebook', 'marketplace', 'terus', 'ada', 'org', 'mojokerto', 'yg', 'minat', 'beli', 'minta', 'dikirim', 'via', 'tokopedia']",saya jual kamera yang sudah tidak dipakai di tokopedia barangnya tidak tawarin di facebook marketplace terus ada orang mojokerto yang minat beli minta dikirim via tokopedia,"['aku', 'jual', 'kamera', 'yg', 'udh', 'dipakai', 'tokopedia', 'barangnya', 'tak', 'tawarin', 'facebook', 'marketplace', 'terus', 'org', 'mojokerto', 'yg', 'minat', 'beli', 'minta', 'dikirim', 'via', 'tokopedia']","['aku', 'jual', 'kamera', 'yg', 'udh', 'dipakai', 'tokopedia', 'barangnya', 'tak', 'tawarin', 'facebook', 'marketplace', 'terus', 'org', 'mojokerto', 'yg', 'minat', 'beli', 'minta', 'dikirim', 'via', 'tokopedia']",positive
